,text,summary,predicted
0,"French President Emmanuel Macron has told Australian Prime Minister Scott Morrison he has broken the trust between their two countries and it is up to Canberra to repair relations, the Elysee Palace says.In the call on Thursday, which came ahead of a UN climate change summit in Glasgow, Macron also urged Morrison to commit to halting coal mining and the use of coal for power production.Relations between France and Australia soured when Canberra signed up to the AUKUS partnership which involved the US and the UK helping Australia create a fleet of nuclear-powered submarines.The new partnership meant Australia scrapped a $A90 billion deal for France to supply diesel-electric submarines.The call between the pair, who will both attend a G20 summit in Rome later this week, is the first time the two leaders have spoken since France was informed by letter that Canberra was scrapping the 2016 submarine deal.While France has sought to mend fences with Washington, with Macron due to meet US President Joe Biden on Friday in Rome, it had frozen its contacts with Australia.“President Macron recalled that Australia’s unilateral decision to scale back the French-Australian strategic partnership by putting an end to the ocean-class submarine programme in favour of another as-yet unspecified project broke the relationship of trust between our two countries,” the Elysee Palace said in a statement on Thursday.“The situation of the French businesses and their subcontractors, including Australian companies, affected by this decision will be given our utmost attention.“It is now up to the Australian Government to propose tangible actions that embody the political will of Australia’s highest authorities to redefine the basis of our bilateral relationship and continue joint action in the Indo-Pacific.”",Emmanuel Macron tells Scott Morrison ‘trust was broken’ after AUKUS submarine deal,['French President Emmanuel Macron has told Australian Prime Minister Scott Morrison he has broken the trust between their two countries.<n>Relations soured when Canberra signed up to the AUKUS partnership which involved the US and the UK helping Australia create a fleet of nuclear-powered submarines.<n>The new partnership meant Australia scrapped a $A90 billion deal for France to supply diesel-electric submarines.']
1,"West Coast AFL forward Jamaine Jones will face court on Friday on a charge of driving with a blood alcohol level exceeding 0.08.The Eagles released a statement on Thursday night revealing the news, saying Jones informed the club at the time of the offence.It’s believed the offence took place in September, after West Coast’s season had already finished.“The club is bitterly disappointed with Jones’ actions and will review the incident after the hearing with the likelihood of a separate sanction,” West Coast said in a statement.“There is no excuse for getting behind the wheel under the influence of alcohol and Jones is extremely remorseful for this serious error of judgement.”Jones started his AFL career at Geelong, playing seven games for the Cats in 2018.The 23-year-old has spent the past two seasons on West Coast’s list, and notched 15 games for the Eagles in 2021.His best game came in the round seven win over Fremantle, when he booted two goals from 21 disposals.",‘Bitterly disappointed’: Eagles forward to face court over drinking driving,"[""Jamaine Jones will face court on Friday on a charge of driving with a blood alcohol level exceeding 0.08.<n>It's believed the offence took place in September, after West Coast’s season had already finished.<n>Jones started his AFL career at Geelong, playing seven games for the Cats in 2018.<n>The 23-year-old has spent the past two seasons on West Coast’s list, and notched 15 games for the Eagles in 2021.""]"
2,"Twenty-eight days after a corruption inquiry forced her to resign as NSW premier, Gladys Berejiklian will get the opportunity to address the allegations against her.Berejiklian’s secret partner Daryl Maguire was the one originally under the microscope of the NSW Independent Commission Against Corruption last year, for allegedly using his position as an MP to gain a financial benefit for himself.But when she sensationally revealed their clandestine relationship, it sparked a separate investigation into her own conduct, which resulted in her resigning as premier on October 1.ICAC is investigating how the relationship may have impacted the way Berejiklian - as treasurer and then premier - dealt with projects the former Wagga Wagga MP lobbied for.On Friday she will get her chance to answer the allegations against her, a day after Maguire told the inquiry the pair loved each other, contemplated marriage and discussed having a child.The former premier last year told ICAC the pair’s relationship was not of “sufficient status” to disclose to anyone.She earlier on Thursday lost a bid to have ICAC hear details of the relationship in private.“There is no public purpose served by plumbing the depths of the private life of my client,” her lawyer Sophie Callan SC argued.“Doing so in public will inevitably lead to intense and irremediable publicity and public scrutiny along with humiliation and harm.”Assistant Commissioner Ruth McColl denied the request, saying the matter was in the public interest.Maguire on Thursday conceded the relationship gave him greater access to Berejiklian than other MPs, and in their private life he “encouraged” her to take a close interest in projects he was lobbying for.He denied he ever explicitly asked his partner to intervene, but conceded he would sometimes communicate with her in the hope she would.The public hearings have focused on two grants - a $5.5 million upgrade to the Wagga Wagga Clay Target Club, and a $20.5 million plan to build a recital hall for the Riverina Conservatorium of Music.Berejiklian denies any wrongdoing, but in a tearful press conference earlier this month said she had “no option” other than to resign.“History will demonstrate that I have always executed my duties with the highest degree of integrity for the benefit of the people of NSW, who I have had the privilege to serve,” Berejiklian told reporters.",Gladys Berejiklian to face ICAC on Friday after Daryl Maguire aired details of intimate relationship,"['Gladys Berejiklian will address allegations against her at ICAC on Friday.<n>She resigned as NSW premier on October 1 after a corruption inquiry forced her to resign as treasurer and then premier.<n>ICAC is investigating how the relationship may have impacted the way Berejiklian dealt with projects Daryl Maguire lobbied for.<n>Maguire told the inquiry the pair loved each other, contemplated marriage and discussed having a child.']"
3,"Australians can now buy COVID-19 rapid tests at retail stores including supermarkets, pharmacies and online.Until now, the do-it-yourself kits were only allowed to be used in restricted settings and tests had to be conducted by a medical professional.Watch David Koch and Natalie Barr demonstrate how they work aboveThey cost roughly $10 to $30 for a packet of two and allow users to gently swab their nose and throat before delivering results in around 15 minutes.It comes after Australia’s medical regulator, the Therapeutic Goods Administration (TGA), last month approved the use of at-home COVID-19 testing kits from November 1.The body has so far approved nine different home rapid antigen tests for sale.Coles and Woolworths have confirmed that they will stock the tests, as well as most major pharmacies, in all states except Western Australia and South Australia.People who return a positive result must then present to a testing station to confirm their infection with a standard PCR test.",COVID-19 rapid antigen tests now available at supermarkets and pharmacies,"['Australians can now buy COVID-19 rapid tests at retail stores including supermarkets, pharmacies and online.<n>The kits cost roughly $10 to $30 for a packet of two and allow users to gently swab their nose and throat before delivering results in around 15 minutes.<n>Coles and Woolworths have confirmed that they will stock the tests, as well as most major pharmacies, in all states except Western Australia and South Australia.']"
4,"A 28-year-old woman has been reported missing from Sydney’s north.Police are appealing for assistance after Kathleen Riethmuller was reported missing and has not been seen or heard from since Thursday.On Thursday afternoon, Kathleen Riethmuller’s backpack was found along Centennial Avenue in Lane Cove.The backpack contained various personal items including Kathleen’s ID, bank cards and money.Kathleen’s family, along with police, hold serious concerns for her welfare as they have not been able to contact her, and she has not been seen since Thursday.Kathleen is described as being of Caucasian appearance, about 165cm – 175cm tall, of thin build, with long dark hair.She was last seen at a retail store on Reserve Road, Artarmon, at about 11.40am on Thursday 28 October.In a CCTV image taken from the store, she is seen wearing a long sleeve denim dress and black flat shoes.Kathleen is known to have frequented a unit on King Street in Sydney and backpacker’s accommodation on Sir John Young Crescent, Woolloomooloo.Anyone who may have information about her whereabouts or has seen Kathleen are urged to contact Chatswood Police Station or Crime Stoppers on 1800 333 000.Anyone with information about this incident is urged to contact Crime Stoppers: 1800 333 000 or https://nsw.crimestoppers.com.au.",NSW Police issue alert for Kathleen Riethmuller after the Lane Cove woman mysteriously vanished,"[""A 28-year-old woman has been reported missing from Sydney’s north.<n>Kathleen Riethmuller’s backpack was found along Centennial Avenue in Lane Cove on Thursday afternoon.<n>She was last seen at a retail store on Reserve Road, Artarmon, at about 11.40am on Thursday 28 October.<n>Kathleen is described as being of Caucasian appearance, about 165cm – 175cm tall, of thin build, with long dark hair.<n>She is known to have frequented a unit on King Street in Sydney and backpacker's accommodation on Sir John Young Crescent, Woolloomooloo.""]"
5,"New South Wales has recorded another drop in new COVID-19 cases as the state prepares to open up travel between metropolitan Sydney and beyond.On Sunday, the Department of Health confirmed there had been 177 cases in the 24 hours until midnight.There was also one COVID-related death.The number of people hospitalised with COVID-19 in the state remains stable at 340.Of those 78 are in intensive care.It’s the first time in nearly three months the case numbers have dipped below 200.The last time NSW recorded less than 200 daily COVID-19 cases was on July 30, when it recorded 172 infections.Health officials say more than 75,378 COVID-19 tests were conducted in the 24 hours to 8pm on Saturday, while 93.5 per cent of NSW residents aged 16 or over have now received at least one vaccine dose and 87.5 per cent are fully vaccinated.Meanwhile, thousands of free hospitality training spots will be opened up in a bid to help NSW businesses struggling with increased demand and a smaller workforce.The government will fund about 3000 training places across 29 TAFE courses, including barista training, introduction to cooking and safe food handling courses.Premier Dominic Perrottet said businesses were struggling without the international workforce they depended on before NSW was sent into lockdown.“People from all over the state are lining up to get into pubs and clubs and we want to support those businesses with enthusiastic and skilled staff,” Perrottet said on Sunday.The new spots are on top of free places already funded under the JobTrainer program.NSW parents, meanwhile, are being urged to keep the Halloween tradition COVID safe.“Aim to keep celebrations outside,” is the chief advice offered by NSW Health’s Dr Jeremy McAnulty.“Provide closed packaging for treats instead of communal lolly bowls and consider ways for distributing treats that are safe, for example, putting them along the front fence or in the front yard.“Keep it local,” he said.By that he means parents and children should confine themselves to their own neighbourhood rather than wandering into ‘treat streets’ beyond.Kids should not share face masks and if they are feeling unwell, they should not take part at all.- with AAP",New COVID-19 cases in NSW drop to low not seen since JULY,"['New South Wales has recorded another drop in new COVID-19 cases.<n>Health officials say more than 75,378 COVID-19 tests were conducted in the 24 hours to 8pm on Saturday.<n>The last time NSW recorded less than 200 daily COVID-19 cases was on July 30, when it recorded 172 infections.<n>NSW parents, meanwhile, are being urged to keep the Halloween tradition COVID safe.']"
6,"Barnaby Joyce has finally revealed some of the detail the Nationals secured in agreeing with the plan for net zero emissions by 2050, including a regional fund to assist the transition.Prime Minister Scott Morrison is in Rome for the G20 Summit and will then head to the UN climate conference in Glasgow to present Australia’s emissions reduction plan.Joyce, the Nationals leader and currently acting prime minister, said if what people say about global trends is correct, then there is a need for a parallel income for regional Australia.“They need a fund that actually inspires the new businesses that will employ people to start up, if what the globe is saying is going to happen,” Joyce told Sky News’ Sunday Agenda programHowever, he did not divulge how big the fund would be.The Nationals also secured the exclusion of so-called ‘scope 3 emissions’, which accounts for emissions from coal mining in Australia and then accounts for them again when the coal is burned in China.“It’s basically double accounting,” Joyce said.“We had to make sure we maintained what is a vital part of regional Australia.”Energy and Emissions Reductions Minister Angus Taylor is travelling with the prime minister to Glasgow.He told ABC’s Insiders program from Rome the government has allocated $20 billion over the next ten years to put Australia on the path to 2050 through new technologies.“That’s the goal and that means you avoid having to pay the very significant cost of having a carbon tax,” Taylor said.Repeatedly pressed on whether the $20 billion outlay will be sufficient to reach the 2050 target, Taylor said: “What a government in the 2040s, or 2045 or 2047 spends will be up to that government.”“We don’t need to impose a carbon tax.”‘We don’t need to impose a carbon tax.’But former Liberal finance minister and now Secretary-General of the Organisation for Economic Cooperation and Development Mattheus Cormann believes there needs to be a price on carbon.“I have had a consistent view that in order to be generally effective and publicly supported over the long run you need a globally coordinated approach,” Cormann told Sky News in Rome.“A consistently applied price on carbon globally could be the most efficient.”",Barnaby Joyce details some of Nationals deal to accept a net zero emissions 2050 target,"['Prime Minister Scott Morrison is in Rome for the G20 Summit and will then head to the UN climate conference in Glasgow to present Australia’s emissions reduction plan.<n>The Nationals secured the exclusion of so-called ‘scope 3 emissions’, which accounts for emissions from coal mining in Australia and then accounts for them again when the coal is burned in China.<n>Energy and Emissions Reductions Minister Angus Taylor is travelling with the prime minister to Glasgow.<n>Former Liberal finance minister and now Secretary-General of the Organisation for Economic Cooperation and Development Mattheus Cormann believes there needs to be a price on carbon.']"
7,"Thousands of protesters have taken to the streets of Melbourne to protest about new lockdown laws just hours after the city began to relish its extra freedoms.A large crowd of protesters met outside Parliament House with a number of messages for Daniel Andrews and the state’s leaders.But one grew louder than most at the first legal protest in a long time.“Kill the bill,” protesters chanted.It’s a reference to the controversial pandemic laws currently before MPs.The Victorian government has introduced new laws to parliament that would allow the health minister to make public health orders for the COVID-19 pandemic.The Public Health and Wellbeing (Pandemic Management) Bill 2021 aims to give the state’s premier the power to declare a pandemic and extend it in three-month blocks for as long as considered necessary.Earlier this week, Andrews said the government had flagged this would happen and that this framework goes further in terms of “scrutiny and transparency”.“We said as the state of emergency and legislative arrangements fell due, we would introduce pandemic-specific laws,” he said.“We would have a set of measures that were not written with a hypothetical in mind, but were the product of learning and the experiences that we’ve all been through of these last 20-plus months.“That’s exactly the framework we have introduced into the parliament.”The declaration will give the health minister “broad powers to make pandemic orders” on the chief health officer’s advice and will replace the current state of emergency, which expires on December 15.A similar process is in place in NSW and New Zealand, where the health minister is directly accountable to parliament.But the proposed Victorian laws go further, with an independent oversight committee to review the public orders and their impact on human rights, while public health advice will need to be made public.The laws also introduce safeguards around protecting contact tracing and QR code information, while an aggravated offence will be created to “deter ... the most egregious pandemic-related behaviours”.Court-imposed penalties will be introduced to stop businesses receiving commercial benefit from breaching a pandemic order.Victoria’s Liberal Leader Matthew Guy described the law as an “extreme power” and asked why it would be needed if lockdowns were a thing of the past.“Noting the extreme nature of the government’s proposed pandemic law, the Liberals and National parties resolved this morning to stand up for Victorians and oppose it,” he tweeted.“The state government has said they are ‘never locking us down again’ - so why such extreme legislation?”The opposition says the government is “drunk on power”, describing the proposed laws as “the most extreme, dangerous and excessive laws ever brought before our state”.“Daniel Andrews is attempting to sideline the Victorian chief health officer and grant himself unchecked power to declare a state of emergency,” Opposition Leader Matthew Guy said.If passed, pandemic-specific laws will replace the current state of emergency, which expires on December 15.Melbourne and Victoria’s regions reunited after coronavirus restrictions eased at 6pm on Friday, ahead of the state hitting its 80 per cent full vaccination target at the weekend.The border between Melbourne and the regions has now come down, masks no longer need to be worn outdoors, and capacity limits increased for restaurants, pubs and cafes, and indoor entertainment venues, gyms and retail reopened to fully vaccinated patrons.There were long lines outside stores at Bourke Street Mall and Chadstone shopping centre before doors were thrown open shoppers.With travel to and from the city no longer banned, tourism-starved regional operators are preparing for a wave of pent-up demand over the unofficial Melbourne Cup long weekend.The state recorded another 1355 locally acquired COVID-19 infections on Saturday, with 21,095 active cases across the state.Eleven Victorians, aged between 65 and 85, have died with the virus, bringing the toll from the latest outbreak to 293.COVID-19 Commander Jeroen Weimar said 18 per cent of the new infections were in children aged under 10, while two thirds of cases were aged under 40 and about one third under 20.“This continues to be cases predominantly in our unvaccinated communities and predominantly affecting younger Victorians,” he told reporters.“So, please, particularly for those people in their 20s, go out and get vaccinated.”- With AAP",‘KILL THE BILL’: Thousands of protesters take to Melbourne streets over COVID-19 pandemic laws,"['The Victorian government has introduced new laws to parliament that would allow the health minister to make public health orders for the COVID-19 pandemic.<n>The Public Health and Wellbeing (Pandemic Management) Bill 2021 aims to give the state’s premier the power to declare a pandemic and extend it in three-month blocks for as long as considered necessary.<n>If passed, pandemic-specific laws will replace the current state of emergency, which expires on December 15.<n>Eleven Victorians, aged between 65 and 85, have died with the virus, bringing the toll from the latest outbreak to 293.']"
8,"The armorer on the movie set where actor Alec Baldwin fatally shot a cinematographer last week has “no idea” where any live ammunition came from, her lawyers said Thursday.Rust armorer Hannah Gutierrez-Reed “is devastated and completely beside herself over the events that have transpired,” a statement from her attorney said.Halyna Hutchins, director of photography, died in the on-set shooting last week, and director Joel Souza was injured.The circumstances of the shooting in New Mexico are under investigation, and no charges have been filed.“Safety is Hannah’s number one priority on set. Ultimately this set would never have been compromised if live ammo were not introduced. Hannah has no idea where the live rounds came from,” the statement from her attorneys said.Court documents related to a search warrant say assistant director David Halls yelled “cold gun,” indicating it had no live rounds, as he handed the firearm to Baldwin before the shooting.Halls told authorities he should have checked the gun more thoroughly after noticing a difference in the ammunition rounds, according to a search warrant affidavit.Gutierrez-Reed’s attorneys, Jason Bowles and Robert Gorence, said that the guns were locked up at night and during lunch and that the armorer had sought more training on the movie.“Hannah was hired on two positions on this film, which made it extremely difficult to focus on her job as an armorer,” the statement says.“She fought for training, days to maintain weapons and proper time to prepare for gunfire but ultimately was overruled by production and her department. ““The whole production set became unsafe due to various factors, including lack of safety meetings.”But sources within the production told NBC News that it’s common practice for an armorer, like Gutierrez-Reed, to also have separate responsibilities within a prop team.And in Gutierrez-Reed’s case on Rust, she only worked two days in props and never had dual prop and weapons responsibilities on the same day, the production sources said.The Rust production was within guidelines set by the Teamsters, SAG, the Directors Guild of America, the International Alliance of Theatrical Stage Employees and other unions, according to the sources.There were multiple safety meetings on the Rust set, including on the day of deadly shooting, and the production was not trying to cut corners, they said.The shooting occurred at the Bonanza Creek Ranch in Santa Fe County, which is often used for Western productions.Sources have told NBC News that the prop gun had misfired before.The attorneys for Gutierrez-Reed in Thursday’s statement referenced an “accidental discharge” of a weapon, saying that Gutierrez-Reed never had one.“The first one on this set was the prop master and the second was a stunt man after Hannah informed him his gun was hot with blanks,” the statement said.The “lead projectile” that killed Hutchins and injured Souza has been recovered, authorities said this week. It was found in Souza’s shoulder.Santa Fe County Sheriff Adan Mendoza described what was fired as a “suspected live round.”Around 500 rounds were taken from the set as part of the investigation, including blanks, dummy rounds and what the sheriff described as suspected live rounds.He said Wednesday “there was some complacency on this set.”",Armorer on the set of ‘Rust’ says she has ‘NO IDEA’ where deadly ammunition that killed Halyna Hutchins came from,"['Hannah Gutierrez-Reed has no idea where live ammunition came from, her lawyers said Thursday.<n>Gutierrez-Reed was hired on two positions on the Rust set.<n>She only worked two days in props and never had dual prop and weapons responsibilities on the same day, sources say.<n>The shooting occurred at the Bonanza Creek Ranch in Santa Fe County, which is often used for Western productions.']"
9,"A small group of ultra-wealthy individuals could help solve world hunger with just a fraction of their net worth, says the director of the United Nations’ World Food Program.Billionaires need to “step up now, on a one-time basis”, said David Beasley in an interview on CNN’s Connect the World with Becky Anderson that aired Tuesday - citing specifically the world’s two richest men, Jeff Bezos and Elon Musk.“$US6 ($A7.9) billion to help 42 million people that are literally going to die if we don’t reach them. It’s not complicated,” he added.Tesla chief executive Musk has a net worth of nearly $US289 ($A384) billion, according to Bloomberg, meaning that Beasley is asking for a donation of just 2 per cent of his fortune.The net worth of US billionaires has almost doubled since the pandemic began, standing at $US5.04 ($A6.7) trillion in October, according to progressive groups Institute for Policy Studies and Americans for Tax Fairness.A “perfect storm” of several crises, such as climate change and the COVID-19 pandemic, mean many nations are “knocking on famine’s door,” Beasley said.Half of the population of Afghanistan - 22.8 million people - face an acute hunger crisis, according to a WFP report released Monday. Rampant unemployment and a liquidity crisis means the country is teetering on the edge of a humanitarian crisis and 3.2 million children under the age of five are at risk, the report concluded.A series of new reports from the Biden administration issued a stark warning last week: The effects of climate change will be wide-reaching and will pose problems for every government.Among the reports, the administration details how climate change is driving migration, the first time the US government is officially recognising the link between climate change and migration. The WFP has warned about this swell of movement in the past, particularly in the “Dry Corridor” region in Central America.“For example, take the United States and the region in Central America, the Dry Corridor, Guatemala, Honduras, El Salvador and Nicaragua - just down in that area alone,” said Beasley Tuesday.“We’re feeding a lot of people down there and the climate is just changing with hurricanes and flash flooding; it’s just devastating.”In Ethiopia, the WFP estimates that 5.2 million people are in urgent need of food assistance in the Tigray region, where Prime Minister Abiy Ahmed has led a major offensive against the Tigray People’s Liberation Front (TPLF) since last year.Thousands of civilians have since been killed, while more than two million have been displaced.Humanitarian organisations like the WFP have struggled to get supplies to those in need in the region, compounding the crisis.“I don’t know where they’re getting the food from,” said Beasley in the wide-ranging interview. “We’re out of fuel. We’re out of cash, in terms of paying our people and we are running out of money and we can’t get our trucks in.”","Just TWO PER CENT of Elon Musk’s wealth could solve world hunger, according to UN food scarcity organisation","['A small group of ultra-wealthy individuals could help solve world hunger with just a fraction of their net worth, says the director of the United Nations’ World Food Program.<n>The net worth of US billionaires has almost doubled since the pandemic began, standing at $US5.04 ($A6.7) trillion in October.<n>Half of the population of Afghanistan - 22.8 million people - face an acute hunger crisis, according to a WFP report released Monday.<n>In Ethiopia, the WFP estimates that 5.2 million people are in urgent need of food assistance.']"
